epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.226,1.32062,2.734,1.55915,0.00333,0.99804,0.08948,0.01415,2.84135,3.97537,3.0021,0.000653333,0.000653333,0.000653333
2,274.762,0.41763,1.07806,0.83965,0.08269,0.54902,0.07495,0.02255,2.44635,3.57716,2.77445,0.00118932,0.00118932,0.00118932
3,410.074,0.38621,0.88025,0.8297,0.02688,0.0902,0.01953,0.00483,2.80473,3.5278,2.99252,0.00159331,0.00159331,0.00159331
4,545.843,0.29637,0.71332,0.7947,0.02089,0.02157,0.01476,0.00312,3.37541,3.87869,3.63658,0.001406,0.001406,0.001406
5,675.514,0.27709,0.60364,0.78771,0.04512,0.07451,0.0499,0.01177,2.87556,3.23203,3.12034,0.001208,0.001208,0.001208
6,808.039,0.25697,0.53849,0.78118,0.05274,0.08039,0.05349,0.01254,2.96032,3.15291,3.11229,0.00101,0.00101,0.00101
7,939.457,0.20071,0.45968,0.77225,0.00829,0.9,0.00931,0.00153,3.64049,3.32779,3.67287,0.000812,0.000812,0.000812
8,1072.76,0.18032,0.40816,0.77661,0.00852,1,0.03921,0.00828,2.7997,3.27897,2.67615,0.000614,0.000614,0.000614
9,1208.1,0.15083,0.36747,0.77476,0.00898,0.99412,0.03013,0.00543,3.23312,3.25161,3.00297,0.000416,0.000416,0.000416
10,1344.24,0.12886,0.34001,0.76598,0.00869,0.94706,0.02478,0.00328,3.5101,3.30047,3.28724,0.000218,0.000218,0.000218
